category_slug,category,role,subtype_count,width_policy,pdf,preview_png,page
01_01_main_scorecard,Main Result Scorecard,Headline method-vs-baseline comparison with grouped metrics.,4,Full-width numeric table: tabular* + \extracolsep{\fill}; bounded first semantic column.,pdfs/01_01_main_scorecard.pdf,png_previews/01_01_main_scorecard_page01.png,1
02_02_multi_dataset_matrix,Multi-Dataset Matrix,"Show generality across datasets, tasks, benchmarks, or domains.",3,Full-width numeric table with dataset spanners; abbreviate dataset names in headers.,pdfs/02_02_multi_dataset_matrix.pdf,png_previews/02_02_multi_dataset_matrix_page01.png,1
03_03_multi_metric_tradeoff,Multi-Metric Tradeoff Table,"Compare quality, efficiency, cost, and robustness without flattening metric families.",4,Grouped numeric table; compact columns for numbers and spanners for metric families.,pdfs/03_03_multi_metric_tradeoff.pdf,png_previews/03_03_multi_metric_tradeoff_page01.png,1
04_04_ablation_table,Ablation Table,Show component necessity or design contribution.,3,Natural-width table; checkmark columns stay compact; final row can be lightly shaded.,pdfs/04_04_ablation_table.pdf,png_previews/04_04_ablation_table_page01.png,1
05_05_sensitivity_table,Hyperparameter Sensitivity Table,"Show robustness to thresholds, budgets, context lengths, or decoding settings.",3,Ordered natural-width table; highlight the selected/default row rather than every best value.,pdfs/05_05_sensitivity_table.pdf,png_previews/05_05_sensitivity_table_page01.png,1
06_06_matched_condition_delta,Matched-Condition Delta Table,"Compare paired interventions, prompts, modes, or deployment settings.",3,Grouped natural-width table; long setting names appear once as italic group rows.,pdfs/06_06_matched_condition_delta.pdf,png_previews/06_06_matched_condition_delta_page01.png,1
07_07_data_split_setup,Data Split And Setup Table,Document train/dev/test/source composition and protocol notes.,4,tabularx with a real prose note column; counts stay compact.,pdfs/07_07_data_split_setup.pdf,png_previews/07_07_data_split_setup_page01.png,1
08_08_benchmark_taxonomy_protocol,Benchmark Taxonomy Or Protocol Table,"Define codes, phases, protocol attributes, or taxonomy rows.",4,tabularx with a prose definition column; group rows prevent repeated long labels.,pdfs/08_08_benchmark_taxonomy_protocol.pdf,png_previews/08_08_benchmark_taxonomy_protocol_page01.png,1
09_09_training_configuration,Training Or Inference Configuration Table,Record reproducibility settings without turning them into performance claims.,4,Phase-grouped key-value table; no best-value styling.,pdfs/09_09_training_configuration.pdf,png_previews/09_09_training_configuration_page01.png,1
10_10_error_failure_analysis,Error Or Failure Analysis Table,"Summarize failure modes, counts, examples, and diagnostic implications.",4,tabularx with compact counts and a prose diagnostic/action column.,pdfs/10_10_error_failure_analysis.pdf,png_previews/10_10_error_failure_analysis_page01.png,1
11_11_qualitative_examples,Qualitative Example Table,"Show representative cases, model outputs, human labels, or explanation snippets.",4,Prose-heavy table with wrapping columns; keep it appendix or narrow body summary.,pdfs/11_11_qualitative_examples.pdf,png_previews/11_11_qualitative_examples_page01.png,1
12_12_leaderboard_complexity_resource,"Leaderboard, Complexity, Or Resource Table",Rank systems while keeping resource and efficiency metrics visible.,4,Mostly numeric scorecard; natural width or tabular* depending on column count.,pdfs/12_12_leaderboard_complexity_resource.pdf,png_previews/12_12_leaderboard_complexity_resource_page01.png,1
13_13_confusion_transition_matrix,Confusion Or Transition Matrix Table,Present compact class-to-class counts when a heatmap is unnecessary.,3,Small numeric matrix; natural-width tabular with clear row/column labels.,pdfs/13_13_confusion_transition_matrix.pdf,png_previews/13_13_confusion_transition_matrix_page01.png,1
14_14_appendix_audit_inventory,Appendix Audit Or Inventory Table,"Track denominators, inclusion rules, checklist items, or appendix completeness.",4,"Appendix-grade table with source scope, status, and action; no performance highlighting.",pdfs/14_14_appendix_audit_inventory.pdf,png_previews/14_14_appendix_audit_inventory_page01.png,1
15_15_remote_sensing_mllm_scorecard,Remote-Sensing MLLM Scorecard,Wide benchmark scorecard with model-family group rows and dataset metric spanners.,4,"Landscape full-width numeric table: compressed group labels, dataset spanners, and per-column maxima.",pdfs/15_15_remote_sensing_mllm_scorecard.pdf,png_previews/15_15_remote_sensing_mllm_scorecard_page01.png,1
